"","accession_name","root_weight","starch_content","height_first_branch","trial_name"
"1","CR24-16",4.76,14.372,215.13,"2022DMF1C_tani"
"2","IBA980581",7.731,19.387,147.71,"2022DMF1C_tani"
"3","KM505",5.221,24.62,203.889,"2022DMF1C_tani"
"4","KU50",8.001,21.069,183.67,"2022DMF1C_tani"
"5","TMEB419",4.935,21.271,209.602,"2022DMF1C_tani"
"6","VF21-0005",7.729,22.256,140.424,"2022DMF1C_tani"
"7","VF21-0009",4.782,NA,185.534,"2022DMF1C_tani"
"8","VF21-0012",5.822,20.382,186.958,"2022DMF1C_tani"
"9","VF21-0015",6.369,17.887,154.477,"2022DMF1C_tani"
"10","VF21-0023",5.139,NA,165.797,"2022DMF1C_tani"
"11","VF21-0028",4.741,NA,158.978,"2022DMF1C_tani"
"12","VF21-0031",4.76,NA,146.776,"2022DMF1C_tani"
"13","VF21-0041",5.162,NA,170.857,"2022DMF1C_tani"
"14","VF21-0044",4.96,NA,151.916,"2022DMF1C_tani"
"15","VF21-0055",8.683,NA,142.805,"2022DMF1C_tani"
"16","VF21-0057",5.098,NA,144.695,"2022DMF1C_tani"
"17","VF21-0059",7.254,18.887,171.066,"2022DMF1C_tani"
"18","VF21-0069",6.332,16.354,140.773,"2022DMF1C_tani"
"19","VF21-0080",7.451,23.997,148.056,"2022DMF1C_tani"
"20","VF21-0084",5.905,NA,119.505,"2022DMF1C_tani"
"21","VF21-0085",4.953,NA,211.074,"2022DMF1C_tani"
"22","VF21-0086",5.046,NA,153.332,"2022DMF1C_tani"
"23","VF21-0093",6.259,15.355,185.712,"2022DMF1C_tani"
"24","VF21-0095",5.76,22.054,194.828,"2022DMF1C_tani"
"25","VF21-0096",5.272,NA,198.143,"2022DMF1C_tani"
"26","VF21-0098",5.794,17.029,151.834,"2022DMF1C_tani"
"27","VF21-0109",6.886,NA,236.223,"2022DMF1C_tani"
"28","VF21-0120",4.874,NA,191.332,"2022DMF1C_tani"
"29","VF21-0132",6.354,17.679,172.87,"2022DMF1C_tani"
"30","VF21-0142",5.751,18.414,198.162,"2022DMF1C_tani"
"31","VF21-0144",5.127,NA,181.617,"2022DMF1C_tani"
"32","VF21-0146",7.477,19.682,211.273,"2022DMF1C_tani"
"33","VF21-0148",5.335,NA,223.897,"2022DMF1C_tani"
"34","VF21-0149",7.152,18.362,222.521,"2022DMF1C_tani"
"35","VF21-0165",5.179,NA,207.671,"2022DMF1C_tani"
"36","VF21-0172",6.764,20.768,164.967,"2022DMF1C_tani"
"37","VF21-0173",5.282,NA,214.502,"2022DMF1C_tani"
"38","VF21-0175",5.753,18.806,158.38,"2022DMF1C_tani"
"39","VF21-0184",6.678,19.704,208.659,"2022DMF1C_tani"
"40","VF21-0185",5.19,NA,136.526,"2022DMF1C_tani"
"41","VF21-0186",6.27,21.852,165.006,"2022DMF1C_tani"
"42","VF21-0190",8.291,19.08,159.011,"2022DMF1C_tani"
"43","VF21-0197",10.199,18.481,131.107,"2022DMF1C_tani"
"44","VF21-0200",5.946,NA,203.218,"2022DMF1C_tani"
"45","VF21-0202",7.164,19.722,155.255,"2022DMF1C_tani"
"46","VH21-0002",5.06,NA,213.898,"2022DMF1C_tani"
"47","VH21-0016",8.257,18.282,189.824,"2022DMF1C_tani"
"48","VH21-0019",7.072,15.884,191.136,"2022DMF1C_tani"
"49","VH21-0021",6.001,13.576,142.227,"2022DMF1C_tani"
"50","VH21-0025",4.141,NA,231.365,"2022DMF1C_tani"
"51","VH21-0036",4.745,NA,133.488,"2022DMF1C_tani"
"52","VH21-0041",5.063,NA,143.556,"2022DMF1C_tani"
"53","VH21-0048",7.136,25.064,137.303,"2022DMF1C_tani"
"54","VH21-0054",6.916,16.994,141.183,"2022DMF1C_tani"
"55","VH21-0057",5.67,NA,134.195,"2022DMF1C_tani"
"56","VH21-0059",4.861,NA,164.139,"2022DMF1C_tani"
"57","VH21-0063",5.869,NA,147.417,"2022DMF1C_tani"
"58","VH21-0065",4.508,NA,135.484,"2022DMF1C_tani"
"59","VH21-0072",4.714,NA,137.823,"2022DMF1C_tani"
"60","VH21-0079",5.799,NA,143.764,"2022DMF1C_tani"
"61","VH21-0080",5.248,15.663,154.423,"2022DMF1C_tani"
"62","VH21-0083",4.028,NA,131.956,"2022DMF1C_tani"
"63","VH21-0086",4.167,NA,128.761,"2022DMF1C_tani"
"64","VH21-0087",5.841,NA,129.303,"2022DMF1C_tani"
"65","VH21-0090",7.516,16.285,162.457,"2022DMF1C_tani"
"66","VH21-0092",5.173,NA,135.624,"2022DMF1C_tani"
"67","VH21-0093",5.222,11.231,242.258,"2022DMF1C_tani"
"68","VH21-0095",4.735,NA,155.798,"2022DMF1C_tani"
"69","VH21-0097",7.056,21.67,137.2,"2022DMF1C_tani"
"70","VH21-0098",3.607,NA,150.567,"2022DMF1C_tani"
"71","VH21-0099",5.825,NA,193.934,"2022DMF1C_tani"
"72","VH21-0100",3.83,NA,152.772,"2022DMF1C_tani"
"73","VH21-0101",5.542,NA,145.149,"2022DMF1C_tani"
"74","VH21-0102",6.275,10.973,144.056,"2022DMF1C_tani"
"75","VH21-0109",5.062,NA,165.74,"2022DMF1C_tani"
"76","VH21-0112",6.022,11.637,163.73,"2022DMF1C_tani"
"77","VH21-0113",5.604,NA,216.896,"2022DMF1C_tani"
"78","VH21-0127",13.44,18.994,172.453,"2022DMF1C_tani"
"79","VH21-0136",4.085,NA,139.392,"2022DMF1C_tani"
"80","VH21-0137",5.641,NA,137.197,"2022DMF1C_tani"
"81","VH21-0170",6.151,NA,145.975,"2022DMF1C_tani"
"82","VH21-0172",6.993,15.069,196.241,"2022DMF1C_tani"
